year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2019,1,AS,Alaska Airlines Network,DCA,"Washington, DC: Ronald Reagan Washington National",155.00,19.00,5.15,0.38,10.89,0.00,2.58,0.00,0.00,561.00,195.00,12.00,275.00,0.00,79.00
2019,1,AS,Alaska Airlines Network,DEN,"Denver, CO: Denver International",138.00,19.00,3.54,0.00,9.55,0.00,5.91,0.00,0.00,673.00,225.00,0.00,322.00,0.00,126.00
2019,1,AS,Alaska Airlines Network,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",98.00,9.00,3.20,0.00,4.21,0.00,1.59,0.00,0.00,215.00,74.00,0.00,77.00,0.00,64.00
2019,1,AS,Alaska Airlines Network,DTW,"Detroit, MI: Detroit Metro Wayne County",31.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,142.00,0.00,0.00,142.00,0.00,0.00
2019,1,AS,Alaska Airlines Network,EWR,"Newark, NJ: Newark Liberty International",321.00,82.00,8.42,1.60,63.27,0.00,8.72,5.00,1.00,5872.00,869.00,38.00,4393.00,0.00,572.00
2019,1,AS,Alaska Airlines Network,FAI,"Fairbanks, AK: Fairbanks International",349.00,29.00,12.85,0.80,8.25,0.00,7.10,6.00,0.00,1268.00,684.00,36.00,241.00,0.00,307.00
2019,1,AS,Alaska Airlines Network,FLL,"Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",123.00,27.00,5.13,0.00,15.89,0.00,5.98,0.00,0.00,1121.00,273.00,0.00,474.00,0.00,374.00
2019,1,AS,Alaska Airlines Network,GEG,"Spokane, WA: Spokane International",95.00,10.00,3.81,0.93,1.53,0.00,3.73,0.00,0.00,311.00,63.00,25.00,58.00,0.00,165.00
2019,1,AS,Alaska Airlines Network,HNL,"Honolulu, HI: Daniel K Inouye International",278.00,36.00,13.67,0.88,18.87,0.00,2.58,0.00,5.00,1586.00,665.00,94.00,730.00,0.00,97.00
2019,1,AS,Alaska Airlines Network,IAD,"Washington, DC: Washington Dulles International",141.00,36.00,9.59,0.00,20.68,0.00,5.73,1.00,0.00,1904.00,434.00,0.00,687.00,0.00,783.00
2019,1,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",37.00,7.00,2.00,0.00,4.00,0.00,1.00,0.00,0.00,217.00,107.00,0.00,84.00,0.00,26.00
2019,1,AS,Alaska Airlines Network,IND,"Indianapolis, IN: Indianapolis International",31.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,17.00,0.00,0.00,0.00,0.00,17.00
2019,1,AS,Alaska Airlines Network,JFK,"New York, NY: John F. Kennedy International",440.00,84.00,21.10,0.79,42.89,0.82,18.41,14.00,1.00,4791.00,1255.00,77.00,1674.00,32.00,1753.00
2019,1,AS,Alaska Airlines Network,JNU,"Juneau, AK: Juneau International",321.00,47.00,12.85,5.63,14.57,0.00,13.95,12.00,26.00,2409.00,967.00,305.00,503.00,0.00,634.00
2019,1,AS,Alaska Airlines Network,KOA,"Kona, HI: Ellison Onizuka Kona International at Keahole",206.00,23.00,7.83,0.43,13.30,0.00,1.44,0.00,3.00,1580.00,692.00,27.00,716.00,0.00,145.00
2019,1,AS,Alaska Airlines Network,KTN,"Ketchikan, AK: Ketchikan International",177.00,32.00,12.94,1.00,9.87,0.00,8.19,4.00,4.00,2272.00,1016.00,137.00,298.00,0.00,821.00
2019,1,AS,Alaska Airlines Network,LAS,"Las Vegas, NV: McCarran International",729.00,148.00,30.19,1.00,70.84,0.00,45.97,11.00,0.00,8352.00,2127.00,137.00,2719.00,0.00,3369.00
2019,1,AS,Alaska Airlines Network,LAX,"Los Angeles, CA: Los Angeles International",1688.00,403.00,64.78,8.58,217.15,0.00,112.49,56.00,6.00,23064.00,4782.00,767.00,8883.00,0.00,8632.00
2019,1,AS,Alaska Airlines Network,LIH,"Lihue, HI: Lihue Airport",153.00,9.00,0.33,1.02,7.65,0.00,0.00,0.00,5.00,334.00,8.00,111.00,215.00,0.00,0.00
2019,1,AS,Alaska Airlines Network,MCI,"Kansas City, MO: Kansas City International",59.00,7.00,1.00,0.82,5.18,0.00,0.00,0.00,0.00,159.00,19.00,14.00,126.00,0.00,0.00
2019,1,AS,Alaska Airlines Network,MCO,"Orlando, FL: Orlando International",147.00,19.00,3.72,0.00,12.74,0.00,2.53,0.00,0.00,621.00,114.00,0.00,359.00,0.00,148.00
2019,1,AS,Alaska Airlines Network,MKE,"Milwaukee, WI: General Mitchell International",31.00,3.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,53.00,0.00,0.00
2019,1,AS,Alaska Airlines Network,MSP,"Minneapolis, MN: Minneapolis-St Paul International",62.00,5.00,2.73,0.00,1.48,0.00,0.79,0.00,0.00,128.00,69.00,0.00,32.00,0.00,27.00
2019,1,AS,Alaska Airlines Network,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",62.00,10.00,0.38,0.00,4.90,0.00,4.71,3.00,0.00,684.00,25.00,0.00,181.00,0.00,478.00
2019,1,AS,Alaska Airlines Network,OAK,"Oakland, CA: Metropolitan Oakland International",149.00,21.00,4.63,0.26,5.65,0.00,10.46,1.00,0.00,1390.00,249.00,6.00,139.00,0.00,996.00
